Loanword,Frequency,Citation,Meaning,Japanese,Stage,Category
dashi,3,1963,Japanese cooking stock or broth,出汁,Stage: 1,food & drink
ninja,4,1964,A Japanese warrior trained in the art of ninjutsu,忍者,Stage: 3,culture
yakuza,3,1964,A Japanese gangster or racketeer,ヤクザ,Stage: 2,jobs & status
keiretsu,4,1965,A hierarchy of firms owned or part-owned by a parent company,系列,Stage: none,business
shiatsu,4,1967,A kind of therapy in which pressure is applied to certain points on the body,指圧,Stage: 3,medicine
Shinkansen,4,1968,A railway system carrying high-speed passenger trains,新幹線,Stage: 2,transportation
Nikkei,4,1974,The relative price of representative shares on the Tokyo Stock Exchange,日経,Stage: none,business
Betamax,3,1975,A proprietary name for the videocassette format,ベータマックス,Stage: 3,commodities
kanban,4,1977,A card displaying a set of manufacturing specifications,看板,Stage: 2,business
tamari,4,1977,A variety of rich soy sauce,溜まり,Stage: 1,food & drink
karaoke,4,1979,A sing-along machine; a form of entertainment using such machine,カラオケ,Stage: 3,entertainment
